Profiling dataset web-Google.txt
Profiling loading
=================

         3064881597 function calls (3064881397 primitive calls) in 6726.888 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    0.000    0.000    0.000    0.000 __init__.py:908(_set_pmap)
      100    0.000    0.000    0.000    0.000 __init__.py:2708(get_vertex_filter)
      300    0.000    0.000    0.000    0.000 __init__.py:2230(_get_vertex_index)
      600    0.000    0.000    0.000    0.000 __init__.py:3169(__get_base)
      200    0.000    0.000    0.000    0.000 __init__.py:2624(set_filters)
      400    0.000    0.000    0.000    0.000 __init__.py:140(_to_str)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


Profiling PageRank
==================

         6303 function calls in 75.557 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   75.557   75.557 {built-in method builtins.exec}
        1    0.002    0.002   75.557   75.557 <string>:1(<module>)
      100   75.353    0.754   75.553    0.756 __init__.py:62(pagerank)
      200    0.095    0.000    0.185    0.001 __init__.py:615(__get_set_f_array)
      100    0.000    0.000    0.095    0.001 __init__.py:662(<lambda>)
      200    0.000    0.000    0.089    0.000 __init__.py:560(get_array)
      200    0.086    0.000    0.088    0.000 __init__.py:582(_get_data)
      100    0.004    0.000    0.010    0.000 __init__.py:2308(new_vertex_property)
      300    0.002    0.000    0.004    0.000 __init__.py:166(_prop)
      100    0.001    0.000    0.003    0.000 __init__.py:383(__init__)
      200    0.001    0.000    0.003    0.000 __init__.py:208(_type_alias)
      200    0.001    0.000    0.003    0.000 __init__.py:914(__new__)
      100    0.000    0.000    0.002    0.000 __init__.py:438(__del__)
      100    0.002    0.000    0.002    0.000 __init__.py:433(__unregister_map)
      100    0.001    0.000    0.002    0.000 __init__.py:393(_get_any)
      200    0.002    0.000    0.002    0.000 __init__.py:3183(value_types)
      100    0.001    0.000    0.001    0.000 __init__.py:270(_converter)
      400    0.001    0.000    0.001    0.000 __init__.py:2868(num_vertices)
      100    0.000    0.000    0.001    0.000 __init__.py:231(_python_type)
      200    0.000    0.000    0.001    0.000 numeric.py:469(asarray)
      200    0.001    0.000    0.001    0.000 {method 'view' of 'numpy.ndarray' objects}
      200    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      100    0.000    0.000    0.000    0.000 __init__.py:428(__register_map)
      100    0.000    0.000    0.000    0.000 __init__.py:552(value_type)
      600    0.000    0.000    0.000    0.000 __init__.py:541(get_graph)
      100    0.000    0.000    0.000    0.000 __init__.py:811(reserve)
      300    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      200    0.000    0.000    0.000    0.000 __init__.py:2708(get_vertex_filter)
      200    0.000    0.000    0.000    0.000 __init__.py:908(_set_pmap)
      500    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      100    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      200    0.000    0.000    0.000    0.000 __init__.py:548(key_type)
      300    0.000    0.000    0.000    0.000 __init__.py:2922(__get_base)
      200    0.000    0.000    0.000    0.000 __init__.py:140(_to_str)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


Profiling k-core
================

         3603 function calls in 57.426 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   57.426   57.426 {built-in method builtins.exec}
        1    0.002    0.002   57.426   57.426 <string>:1(<module>)
      100   57.284    0.573   57.422    0.574 __init__.py:1517(kcore_decomposition)
      100    0.001    0.000    0.127    0.001 __init__.py:166(_prop)
      100    0.001    0.000    0.126    0.001 __init__.py:393(_get_any)
      100    0.124    0.001    0.124    0.001 __init__.py:811(reserve)
      100    0.004    0.000    0.009    0.000 __init__.py:2308(new_vertex_property)
      100    0.001    0.000    0.003    0.000 __init__.py:383(__init__)
      200    0.001    0.000    0.003    0.000 __init__.py:208(_type_alias)
      100    0.000    0.000    0.002    0.000 __init__.py:438(__del__)
      100    0.002    0.000    0.002    0.000 __init__.py:433(__unregister_map)
      200    0.002    0.000    0.002    0.000 __init__.py:3183(value_types)
      100    0.001    0.000    0.001    0.000 __init__.py:270(_converter)
      100    0.000    0.000    0.001    0.000 __init__.py:231(_python_type)
      100    0.000    0.000    0.000    0.000 __init__.py:919(_check_prop_writable)
      100    0.000    0.000    0.000    0.000 __init__.py:428(__register_map)
      200    0.000    0.000    0.000    0.000 __init__.py:552(value_type)
      100    0.000    0.000    0.000    0.000 __init__.py:2868(num_vertices)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      100    0.000    0.000    0.000    0.000 __init__.py:925(_check_prop_scalar)
      100    0.000    0.000    0.000    0.000 __init__.py:795(is_writable)
      500    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      200    0.000    0.000    0.000    0.000 __init__.py:541(get_graph)
      200    0.000    0.000    0.000    0.000 __init__.py:548(key_type)
      200    0.000    0.000    0.000    0.000 __init__.py:140(_to_str)
      300    0.000    0.000    0.000    0.000 __init__.py:2922(__get_base)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


Profiling strongly connected components
=======================================

         3603 function calls in 32.019 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   32.019   32.019 {built-in method builtins.exec}
        1    0.002    0.002   32.019   32.019 <string>:1(<module>)
      100   31.952    0.320   32.015    0.320 __init__.py:1002(label_components)
      100    0.001    0.000    0.054    0.001 __init__.py:166(_prop)
      100    0.001    0.000    0.052    0.001 __init__.py:393(_get_any)
      100    0.051    0.001    0.051    0.001 __init__.py:811(reserve)
      100    0.004    0.000    0.009    0.000 __init__.py:2308(new_vertex_property)
      100    0.001    0.000    0.003    0.000 __init__.py:383(__init__)
      200    0.001    0.000    0.003    0.000 __init__.py:208(_type_alias)
      100    0.000    0.000    0.002    0.000 __init__.py:438(__del__)
      100    0.002    0.000    0.002    0.000 __init__.py:433(__unregister_map)
      200    0.002    0.000    0.002    0.000 __init__.py:3183(value_types)
      100    0.001    0.000    0.001    0.000 __init__.py:270(_converter)
      100    0.000    0.000    0.001    0.000 __init__.py:231(_python_type)
      200    0.000    0.000    0.000    0.000 __init__.py:552(value_type)
      100    0.000    0.000    0.000    0.000 __init__.py:919(_check_prop_writable)
      100    0.000    0.000    0.000    0.000 __init__.py:428(__register_map)
      100    0.000    0.000    0.000    0.000 __init__.py:2868(num_vertices)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      100    0.000    0.000    0.000    0.000 __init__.py:795(is_writable)
      100    0.000    0.000    0.000    0.000 __init__.py:925(_check_prop_scalar)
      500    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      200    0.000    0.000    0.000    0.000 __init__.py:541(get_graph)
      200    0.000    0.000    0.000    0.000 __init__.py:548(key_type)
      300    0.000    0.000    0.000    0.000 __init__.py:2922(__get_base)
      200    0.000    0.000    0.000    0.000 __init__.py:140(_to_str)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


