Profiling dataset amazon0302.txt
Profiling loading
=================

         741364997 function calls (741364797 primitive calls) in 499.575 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1600    0.000    0.000    0.000    0.000 __init__.py:541(get_graph)
      300    0.000    0.000    0.000    0.000 numeric.py:469(asarray)
     34/1    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
     34/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     2600    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      400    0.000    0.000    0.000    0.000 __init__.py:2577(set_directed)
      300    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
     1600    0.000    0.000    0.000    0.000 __init__.py:548(key_type)
      200    0.000    0.000    0.000    0.000 __init__.py:1323(__init__)
     1400    0.000    0.000    0.000    0.000 __init__.py:2922(__get_base)
      100    0.000    0.000    0.000    0.000 __init__.py:919(_check_prop_writable)
      300    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      100    0.000    0.000    0.000    0.000 __init__.py:3399(_vt_init)
      100    0.000    0.000    0.000    0.000 __init__.py:925(_check_prop_scalar)
      400    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      100    0.000    0.000    0.000    0.000 getlimits.py:522(max)
      600    0.000    0.000    0.000    0.000 __init__.py:3169(__get_base)
      300    0.000    0.000    0.000    0.000 __init__.py:908(_set_pmap)
      100    0.000    0.000    0.000    0.000 __init__.py:795(is_writable)
        1    0.000    0.000    0.000    0.000 __init__.py:42(__getattr__)
      300    0.000    0.000    0.000    0.000 __init__.py:2230(_get_vertex_index)
      100    0.000    0.000    0.000    0.000 __init__.py:2708(get_vertex_filter)
      400    0.000    0.000    0.000    0.000 __init__.py:140(_to_str)
      200    0.000    0.000    0.000    0.000 __init__.py:2624(set_filters)
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
       23    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        7    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
